id,name,address,opening_time,closing_time,services
1,ZUS Coffee @ Mid Valley,"Lot LG-048, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",08:00,22:00,"dine-in,takeaway,delivery"
2,ZUS Coffee @ INTI International College Subang,"Cafeteria Level 1, Block B, INTI International College Subang Campus, No 3, Jalan SS15/8, 47500 Subang Jaya, Selangor.",08:00,21:00,"dine-in,takeaway"
3,ZUS Coffee @ Sunway Pyramid,"Lot LG2.37, Level LG2, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor",10:00,22:00,"dine-in,takeaway,delivery"
4,ZUS Coffee @ BHP Jalan Maarof,"78, Jalan Ma'arof, Bangsar, 59000 Kuala Lumpur, Federal Territory of Kuala Lumpur",08:30,20:30,"takeaway,delivery"
5,ZUS Coffee @ Setapak Central,"GK-08, Ground Floor, 67, Jln Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan",10:00,22:00,"dine-in,takeaway"
6,ZUS Coffee @ KL Sentral,"5, Jalan Stesen Sentral, East Wing, Level 3 Kuala Lumpur Sentral 50470 Kuala Lumpur",07:00,21:00,"takeaway,delivery"
7,ZUS Coffee @ Pavilion Bukit Jalil,"Lot P.1.05.00 Pavilion Bukit Jalil, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur",10:00,22:00,"dine-in,takeaway,delivery"
8,ZUS Coffee @ IOI City Mall,"L1-K204, First Floor, IOI City Mall 2, Lebuh IRC, IOI Resort City, 62502 Putrajaya",10:00,22:00,"dine-in,takeaway,delivery"
9,ZUS Coffee @ The Curve,"K-G27-W, The Curve, Jalan PJU 7/3, Mutiara Damansara, 47820 Petaling Jaya, Selangor.",10:00,22:00,"dine-in,takeaway"
10,ZUS Coffee @ 1 Utama,"Lot G601A, Ground Floor, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",10:00,22:00,"dine-in,takeaway,delivery"
11,ZUS Coffee @ Wangsa Walk,"GL-03A & FL-03A and GL-05 & FL-05, BL-03A & BL-05, Wangsa Walk Mall, Wangsa Permai, 53300 Wilayah Persekutuan Kuala Lumpur",10:00,22:00,"dine-in,takeaway"
12,ZUS Coffee @ AEON Shah Alam,"Lot (KG10), AEON Mall Shah Alam, Jalan Akuatik 13/64, Seksyen 13, 40100 Shah Alam, Selangor",10:00,22:00,"dine-in,takeaway"
13,ZUS Coffee @ MKH Boulevard,"Lot G-15, MKH Boulevard Kajang, Jalan Changkat, Bandar Kajang, 43000 Kajang Selangor.",08:00,20:00,"takeaway,delivery"
14,ZUS Coffee @ GM Klang,"A-G-13, Ground Floor, Wholesale City Gm Klang, Jalan Kasuarina 1, Bandar Botanik, 41200 Klang, Selangor",10:00,22:00,"dine-in,takeaway"
15,ZUS Coffee @ Sri Petaling,"Lot 36-J, Jalan Radin Anum, Sri Petaling, 57000 Kuala Lumpur",08:00,21:00,"dine-in,takeaway,delivery"
16,ZUS Coffee @ MyTOWN,"Mytown Shopping Mall, LOT G-K-015 & 016, Ground Floor, No.6, Jalan Cochrane, Seksyen 90, 55100 Kuala Lumpur",10:00,22:00,"dine-in,takeaway,delivery"
17,ZUS Coffee @ The Park Sky Residence,"22, The Park Sky Residence @ Bukit Jalil City, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur.",08:00,21:00,"dine-in,takeaway"
18,ZUS Coffee @ Publika,"Lot K1, G3, Publika Shopping Gallery, No. 1, Jalan Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur",10:00,22:00,"dine-in,takeaway"
19,ZUS Coffee @ Damansara Uptown,"44-G (Ground Floor), JALAN SS21/39, DAMANSARA UTAMA, 47400 PETALING JAYA, SELANGO",08:00,21:00,"dine-in,takeaway,delivery"
20,ZUS Coffee @ Shaftsbury Square,"Level P1-23, Lot 2350, Shaftsbury Square, Cyber 6, 63000 Cyberjaya, Selangor",08:00,20:00,"takeaway,delivery"
21,ZUS Coffee @ Ampang Point,"No 50(GF) Jalan Memanda 9, Selangor. Taman Dato Ahmad Razali, 68000 Ampang, Selangor",10:00,22:00,"dine-in,takeaway"
22,ZUS Coffee @ Aeon Mall Bukit Tinggi,"Lot F26, AEON Bukit Tinggi Shopping Centre, 1, Persiaran Batu Nilam 1, KS6, 41200, Selangor",10:00,22:00,"dine-in,takeaway"
23,ZUS Coffee @ Olive Business Park,"No 36 (LG), Jalan BS 1/3, Pusat Perdagangan Olive Hill, Taman Bukit Serdang Seksyen 1, 43300 Seri Kembangan, Selangor.",08:00,20:00,"takeaway,delivery"
24,ZUS Coffee @ Starling Mall,"K-S-202, Second Floor The Starling Mall, 6, Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya, Selangor",10:00,22:00,"dine-in,takeaway"
25,ZUS Coffee @ Avenue K,"Lot C-6, Level Concourse, Avenue K, 156 Jalan Ampang, 50450 Kuala Lumpur.",10:00,22:00,"dine-in,takeaway,delivery"
26,ZUS Coffee @ Cheras Trader Square,"83A-G, Jalan Dataran Cheras 4, Dataran Perniagaan Cheras, Balakong 43200 Selangor",08:00,20:00,"takeaway,delivery"
27,ZUS Coffee @ EkoCheras,"S-63A, 2nd Floor, EkoCheras Mall, No 693, Batu 5, Jalan Cheras, 56000 Kuala Lumpur",10:00,22:00,"dine-in,takeaway"
28,ZUS Coffee @ Bandar Sunway,"No 27 (Ground Floor), Jalan PJS 11/28b, Sunway Metro Bandar Sunway, 46150 Petaling Jaya, Selangor",08:00,20:00,"takeaway,delivery"
29,ZUS Coffee @ Melawati Mall,"Lot L1-K1, Melawati Mall, Jalan Bandar 12, Taman Melawati, 53100 Kuala Lumpur, Selangor",10:00,22:00,"dine-in,takeaway"
30,ZUS Coffee @ Damai Perdana,"No 19G (Ground floor), Jalan Damai Perdana 1/9b, Bandar Damai Perdana, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",08:00,20:00,"takeaway,delivery"
